the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2021-06-10 04:00:00+00,40,positive,2024-12-09 16:00:01.938486+00,283364
,,2023-07-28 04:00:00+00,72,negative,2024-12-09 16:00:01.938486+00,283365
,,2023-03-17 04:00:00+00,61,positive,2024-12-09 16:00:01.938486+00,283366
,,2024-04-25 04:00:00+00,25,positive,2024-12-09 16:00:01.938486+00,283367
,,2021-02-17 05:00:00+00,8290,negative,2024-12-09 16:00:01.938486+00,283368
,,2023-04-26 04:00:00+00,11,positive,2024-12-09 16:00:01.938486+00,283369
,,2020-11-06 05:00:00+00,849,positive,2024-12-09 16:00:01.938486+00,283370
,,2022-12-08 05:00:00+00,1822,negative,2024-12-09 16:00:01.938486+00,283371
,,2021-03-13 05:00:00+00,3865,negative,2024-12-09 16:00:01.938486+00,283372
,,2020-06-27 04:00:00+00,81,positive,2024-12-09 16:00:01.938486+00,283373
,,2021-10-04 04:00:00+00,10432,negative,2024-12-09 16:00:01.938486+00,283374
,,2022-02-16 05:00:00+00,101,positive,2024-12-09 16:00:01.938486+00,283375
,,2022-06-27 04:00:00+00,333,positive,2024-12-09 16:00:01.938486+00,283376
,,2024-01-08 05:00:00+00,279,negative,2024-12-09 16:00:01.938486+00,283377
,,2022-10-20 04:00:00+00,1894,negative,2024-12-09 16:00:01.938486+00,283378
,,2023-08-20 04:00:00+00,46,positive,2024-12-09 16:00:01.938486+00,283379
,,2021-05-18 04:00:00+00,153,positive,2024-12-09 16:00:01.938486+00,283380
,,2023-06-19 04:00:00+00,89,negative,2024-12-09 16:00:01.938486+00,283381
,,2021-01-07 05:00:00+00,8052,negative,2024-12-09 16:00:01.938486+00,283382
,,2023-02-20 05:00:00+00,166,positive,2024-12-09 16:00:01.938486+00,283383
,,2020-12-15 05:00:00+00,7326,negative,2024-12-09 16:00:01.938486+00,283384
,,2021-04-07 04:00:00+00,661,positive,2024-12-09 16:00:01.938486+00,283385
,,2023-01-12 05:00:00+00,228,positive,2024-12-09 16:00:01.938486+00,283386
,,2023-05-25 04:00:00+00,138,negative,2024-12-09 16:00:01.938486+00,283387
,,2023-01-15 05:00:00+00,717,negative,2024-12-09 16:00:01.938486+00,283388
,,2023-05-22 04:00:00+00,23,positive,2024-12-09 16:00:01.938486+00,283389
,,2020-12-02 05:00:00+00,1347,positive,2024-12-09 16:00:01.938486+00,283390
,,2021-04-20 04:00:00+00,10004,negative,2024-12-09 16:00:01.938486+00,283391
,,2021-09-28 04:00:00+00,303,positive,2024-12-09 16:00:01.938486+00,283392
,,2022-10-14 04:00:00+00,163,positive,2024-12-09 16:00:01.938486+00,283393
,,2023-09-15 04:00:00+00,119,negative,2024-12-09 16:00:01.938486+00,283394
,,2024-01-14 05:00:00+00,100,positive,2024-12-09 16:00:01.938486+00,283395
,,2020-07-23 04:00:00+00,4285,negative,2024-12-09 16:00:01.938486+00,283396
,,2022-06-01 04:00:00+00,3252,negative,2024-12-09 16:00:01.938486+00,283397
,,2022-01-21 05:00:00+00,9870,negative,2024-12-09 16:00:01.938486+00,283398
,,2023-07-16 04:00:00+00,12,positive,2024-12-09 16:00:01.938486+00,283399
,,2023-02-25 05:00:00+00,643,negative,2024-12-09 16:00:01.938486+00,283400
,,2021-01-28 05:00:00+00,503,positive,2024-12-09 16:00:01.938486+00,283401
,,2021-05-29 04:00:00+00,2470,negative,2024-12-09 16:00:01.938486+00,283402
,,2022-12-21 05:00:00+00,260,positive,2024-12-09 16:00:01.938486+00,283403
,,2020-11-03 05:00:00+00,6123,negative,2024-12-09 16:00:01.938486+00,283404
,,2021-03-16 04:00:00+00,509,positive,2024-12-09 16:00:01.938486+00,283405
,,2023-04-13 04:00:00+00,590,negative,2024-12-09 16:00:01.938486+00,283406
,,2022-03-21 04:00:00+00,99,positive,2024-12-09 16:00:01.938486+00,283407
,,2021-07-02 04:00:00+00,2366,negative,2024-12-09 16:00:01.938486+00,283408
,,2020-10-03 04:00:00+00,108,positive,2024-12-09 16:00:01.938486+00,283409
,,2021-11-10 05:00:00+00,332,positive,2024-12-09 16:00:01.938486+00,283410
,,2022-07-18 04:00:00+00,1772,negative,2024-12-09 16:00:01.938486+00,283411
